R	a	b	z	x	u	grp
0.45	0.5	0.4	0.451404	0.060757	0.008458	0.479381
0.5	0.5	0.4	0.414267	0.051561	0.006224	0.527948
0.55	0.5	0.4	0.376926	0.042815	0.004423	0.575836
0.6	0.5	0.4	0.339221	0.034629	0.003012	0.623138
0.65	0.5	0.4	0.300975	0.027103	0.001946	0.669977
0.7	0.5	0.4	0.261994	0.020333	0.001173	0.7165
0	0.5	0.45	0.770381	0.163823	0.054592	0.011204
0.05	0.5	0.45	0.732403	0.154558	0.047036	0.066004
0.1	0.5	0.45	0.694826	0.144692	0.039966	0.120516
0.15	0.5	0.45	0.657685	0.13429	0.033445	0.174579
0.2	0.5	0.45	0.621004	0.123437	0.02752	0.228039
0.25	0.5	0.45	0.584756	0.112251	0.022229	0.280763
0.3	0.5	0.45	0.548895	0.10087	0.017593	0.332643
0.35	0.5	0.45	0.513336	0.089447	0.013612	0.383606
0.4	0.5	0.45	0.477961	0.078147	0.010269	0.433623
0.45	0.5	0.45	0.442625	0.067136	0.007529	0.48271
0.5	0.5	0.45	0.407155	0.056577	0.005341	0.530927
0.55	0.5	0.45	0.371364	0.046616	0.003645	0.578375
0.6	0.5	0.45	0.335049	0.037387	0.002375	0.625189
0.65	0.5	0.45	0.298004	0.029001	0.001459	0.671535
0.7	0.5	0.45	0.260015	0.021554	0.000832	0.717599
0	0.5	0.5	0.748343	0.182553	0.057742	0.011362
0.05	0.5	0.5	0.711418	0.172512	0.049121	0.06695
0.1	0.5	0.5	0.675046	0.161621	0.041093	0.122239
0.15	0.5	0.5	0.639276	0.149959	0.033748	0.177016
0.2	0.5	0.5	0.604139	0.137636	0.027156	0.231069
0.25	0.5	0.5	0.569586	0.124821	0.021372	0.284221
0.3	0.5	0.5	0.535537	0.111713	0.016417	0.336333
0.35	0.5	0.5	0.501857	0.09854	0.012281	0.387322
0.4	0.5	0.5	0.468363	0.085541	0.008924	0.437172
0.45	0.5	0.5	0.434842	0.072951	0.006277	0.485929
0.5	0.5	0.5	0.401061	0.060983	0.004256	0.5337
0.55	0.5	0.5	0.366779	0.049818	0.002765	0.580638
0.6	0.5	0.5	0.33176	0.039603	0.001706	0.626931
0.65	0.5	0.5	0.295776	0.030447	0.000988	0.672788
0.7	0.5	0.5	0.258614	0.02243	0.000527	0.718429
0	0.5	0.55	0.726508	0.201865	0.060094	0.011533
0.05	0.5	0.55	0.69057	0.191096	0.05035	0.067984
0.1	0.5	0.55	0.655395	0.179154	0.041325	0.124127
0.15	0.5	0.55	0.621055	0.166121	0.03315	0.179674
0.2	0.5	0.55	0.587585	0.152143	0.025929	0.234344
0.25	0.5	0.55	0.554903	0.137463	0.019735	0.2879
0.3	0.5	0.55	0.522869	0.122376	0.014586	0.34017
0.35	0.5	0.55	0.491257	0.107223	0.010447	0.391073
0.4	0.5	0.55	0.459789	0.092353	0.007234	0.440624
0.45	0.5	0.55	0.428158	0.078085	0.004828	0.488928
0.5	0.5	0.55	0.396057	0.06469	0.003094	0.53616
0.55	0.5	0.55	0.3632	0.052371	0.001891	0.582539
0.6	0.5	0.55	0.329332	0.041268	0.001093	0.628308
0.65	0.5	0.55	0.294232	0.031465	0.000589	0.673714
0.7	0.5	0.55	0.257814	0.022921	0.000587	0.718678
0	0.5	0.6	0.704637	0.222007	0.061635	0.011721
0.05	0.5	0.6	0.669612	0.21057	0.050694	0.069124
0.1	0.5	0.6	0.635643	0.197527	0.040622	0.126208
0.15	0.5	0.6	0.602841	0.182957	0.031614	0.182588
0.2	0.5	0.6	0.571242	0.167051	0.023823	0.237884
0.25	0.5	0.6	0.540705	0.150164	0.017344	0.291787
0.3	0.5	0.6	0.510976	0.132752	0.012177	0.344096
0.35	0.5	0.6	0.481683	0.115331	0.008233	0.394753
0.4	0.5	0.6	0.452398	0.098404	0.005353	0.443845
0.45	0.5	0.6	0.422697	0.082394	0.00334	0.491569
0.5	0.5	0.6	0.392206	0.06761	0.001992	0.538191
0.55	0.5	0.6	0.36062	0.054249	0.001129	0.584003
0.6	0.5	0.6	0.327701	0.042406	0.000602	0.629292
0.65	0.5	0.6	0.293321	0.032069	0.000505	0.674106
0.7	0.5	0.6	0.258766	0.021569	0.001865	0.7178
0	0.5	0.65	0.68245	0.243275	0.062347	0.011929
0.05	0.5	0.65	0.648251	0.231247	0.050111	0.070391
0.1	0.5	0.65	0.61552	0.21703	0.03893	0.12852
0.15	0.5	0.65	0.584444	0.200666	0.029095	0.185795
0.2	0.5	0.65	0.55504	0.18242	0.020837	0.241703
0.25	0.5	0.65	0.527067	0.162827	0.014265	0.295842
0.3	0.5	0.65	0.500052	0.142619	0.009329	0.348
0.35	0.5	0.65	0.473373	0.122596	0.005832	0.3982
0.4	0.5	0.65	0.446395	0.103462	0.003487	0.446657
0.45	0.5	0.65	0.418578	0.085728	0.001992	0.493702
0.5	0.5	0.65	0.389523	0.069692	0.001084	0.539701
0.55	0.5	0.65	0.358966	0.055476	0.000558	0.585
0.6	0.5	0.65	0.326745	0.043084	0.000269	0.629902
0.65	0.5	0.65	0.294038	0.03108	0.004417	0.670466
0.7	0.5	0.65	0.257742	0.022642	0.000001	0.719615
0	0.5	0.7	0.659611	0.266032	0.062197	0.01216
0.05	0.5	0.7	0.62612	0.25353	0.048537	0.071813
0.1	0.5	0.7	0.594691	0.238027	0.03617	0.131112
0.15	0.5	0.7	0.565661	0.219461	0.02554	0.189338
0.2	0.5	0.7	0.538987	0.198226	0.016996	0.245791
0.25	0.5	0.7	0.514219	0.175184	0.010638	0.299959
0.3	0.5	0.7	0.490456	0.151576	0.006282	0.351686
0.35	0.5	0.7	0.466669	0.128635	0.003518	0.401178
0.4	0.5	0.7	0.441992	0.107274	0.001877	0.448858
0.45	0.5	0.7	0.415845	0.087994	0.000954	0.495207
0.5	0.5	0.7	0.387918	0.070963	0.000461	0.540657
0.55	0.5	0.7	0.358078	0.056147	0.00021	0.585565
0.6	0.5	0.7	0.327293	0.042338	0.000398	0.629971
0.65	0.5	0.7	0.29315	0.031952	0.000001	0.674898
0.7	0.5	0.7	0.257135	0.023246	0.000498	0.71912
0	0.5	0.75	0.635693	0.290746	0.061141	0.01242
0.05	0.5	0.75	0.602733	0.277958	0.045883	0.073427
0.1	0.5	0.75	0.572725	0.260993	0.032236	0.134046
0.15	0.5	0.75	0.546314	0.239533	0.020897	0.193256
0.2	0.5	0.75	0.523278	0.214236	0.01241	0.250077
0.25	0.5	0.75	0.502681	0.186648	0.006759	0.303911
0.3	0.5	0.75	0.482762	0.158977	0.003423	0.354837
0.35	0.5	0.75	0.461946	0.133008	0.001637	0.403408
0.4	0.5	0.75	0.439281	0.109679	0.000746	0.450294
0.45	0.5	0.75	0.414377	0.089238	0.000324	0.496061
0.5	0.5	0.75	0.387221	0.071517	0.000068	0.541194
0.55	0.5	0.75	0.358301	0.055808	0.000001	0.58589
0.6	0.5	0.75	0.326499	0.043123	0.000001	0.630378
0.65	0.5	0.75	0.292657	0.03245	0.00089	0.674003
0.7	0.5	0.75	0.256875	0.023524	0.000001	0.7196
0	0.5	0.8	0.610126	0.318045	0.059113	0.012716
0.05	0.5	0.8	0.577403	0.305298	0.042013	0.075287
0.1	0.5	0.8	0.549037	0.286578	0.026974	0.137411
0.15	0.5	0.8	0.526372	0.260912	0.015163	0.197553
0.2	0.5	0.8	0.508586	0.229678	0.007405	0.254331
0.25	0.5	0.8	0.493451	0.196091	0.003198	0.30726
0.3	0.5	0.8	0.477662	0.164019	0.001275	0.357044
0.35	0.5	0.8	0.459366	0.135457	0.000484	0.404693
0.4	0.5	0.8	0.438054	0.110792	0.000176	0.450978
0.45	0.5	0.8	0.414094	0.089418	0.000913	0.495574
0.5	0.5	0.8	0.38725	0.071406	0.00034	0.541003
0.55	0.5	0.8	0.357793	0.056306	0.000598	0.585303
0.6	0.5	0.8	0.326137	0.04351	0.000158	0.630195
0.65	0.5	0.8	0.292465	0.032657	0.000001	0.674877
0.7	0.5	0.8	0.256825	0.023572	0.000001	0.719602
0	0.5	0.85	0.582107	0.348817	0.056018	0.013059
0.05	0.5	0.85	0.549076	0.336731	0.036718	0.077476
0.1	0.5	0.85	0.522817	0.31568	0.020176	0.141328
0.15	0.5	0.85	0.506456	0.282896	0.008563	0.202085
0.2	0.5	0.85	0.496702	0.242503	0.002847	0.257948
0.25	0.5	0.85	0.487899	0.201912	0.000815	0.309374
0.3	0.5	0.85	0.475396	0.166311	0.000221	0.358072
0.35	0.5	0.85	0.458527	0.136268	0.000128	0.405077
0.4	0.5	0.85	0.437916	0.11088	0.000089	0.451115
0.45	0.5	0.85	0.413808	0.089704	0.000001	0.496487
0.5	0.5	0.85	0.386893	0.071795	0.000001	0.54131
0.55	0.5	0.85	0.357611	0.056507	0.000001	0.585881
0.6	0.5	0.85	0.326087	0.04356	0.000001	0.630352
0.65	0.5	0.85	0.292464	0.032657	0.000001	0.674877
0.7	0.5	0.85	0.256824	0.023573	0.000001	0.719602
0	0.5	0.9	0.55042	0.384402	0.051717	0.013461
0.05	0.5	0.9	0.515928	0.374297	0.029639	0.080136
0.1	0.5	0.9	0.493084	0.349365	0.011614	0.145936
0.15	0.5	0.9	0.489849	0.301732	0.002354	0.206065
0.2	0.5	0.9	0.490692	0.249127	0.000331	0.25985
0.25	0.5	0.9	0.486244	0.203683	0.000044	0.310029
0.3	0.5	0.9	0.475056	0.166648	0.00015	0.358145
0.35	0.5	0.9	0.458392	0.136404	0.000001	0.405202
0.4	0.5	0.9	0.437712	0.11111	0.000001	0.451177
0.45	0.5	0.9	0.413707	0.089819	0.000001	0.496473
0.5	0.5	0.9	0.386892	0.071796	0.000001	0.541311
0.55	0.5	0.9	0.357611	0.056507	0.000001	0.585881
0.6	0.5	0.9	0.326087	0.04356	0.000001	0.630352
0.65	0.5	0.9	0.292464	0.032658	0.000001	0.674878
0.7	0.5	0.9	0.256824	0.023573	0.000001	0.719602
0	0.5	0.95	0.513048	0.427005	0.045997	0.01395
0.05	0.5	0.95	0.474089	0.422305	0.020037	0.08357
0.1	0.5	0.95	0.461793	0.385251	0.002062	0.150893
0.15	0.5	0.95	0.484107	0.308371	0.000023	0.207498
0.2	0.5	0.95	0.489928	0.249976	0.000001	0.260095
0.25	0.5	0.95	0.486156	0.203779	0.000001	0.310064
0.3	0.5	0.95	0.474958	0.166763	0.000001	0.358278
0.35	0.5	0.95	0.458391	0.136405	0.000001	0.405203
0.4	0.5	0.95	0.437711	0.11111	0.000001	0.451178
0.45	0.5	0.95	0.413706	0.08982	0.000001	0.496473
0.5	0.5	0.95	0.386892	0.071796	0.000001	0.541311
0.55	0.5	0.95	0.35761	0.056508	0.000001	0.585881
0.6	0.5	0.95	0.326086	0.04356	0.000001	0.630352
0.65	0.5	0.95	0.292464	0.032658	0.000001	0.674878
0.7	0.5	0.95	0.256824	0.023573	0.000001	0.719602
0	0.5	1	0.466182	0.48075	0.0385	0.014568
0.05	0.5	1	0.408531	0.497474	0.005053	0.088942
0.1	0.5	1	0.455189	0.392861	0.000001	0.151948
