R	a	b	z	x	u	grp
0.25	0.45	0.5	0.465805	0.210386	0	0.323809
0.3	0.45	0.5	0.453993	0.173733	0	0.372274
0.35	0.45	0.5	0.437351	0.143532	0	0.419117
0.4	0.45	0.5	0.417051	0.118218	0	0.464732
0.45	0.45	0.5	0.39382	0.096753	0	0.509427
0.5	0.45	0.5	0.368124	0.078419	0	0.553457
0.55	0.45	0.5	0.34026	0.062699	0	0.597041
0.6	0.45	0.5	0.310416	0.049212	0	0.640372
0.65	0.45	0.5	0.278695	0.037675	0	0.683629
0.7	0.45	0.5	0.245139	0.027877	0	0.726984
0	0.5	0.5	0.000001	0.98	0	0.019999
0.05	0.5	0.5	0.38507	0.5241	0	0.09083
0.1	0.5	0.5	0.455187	0.392864	0	0.151949
0.15	0.5	0.5	0.482528	0.309761	0	0.207711
0.2	0.5	0.5	0.489807	0.250075	0	0.260118
0.25	0.5	0.5	0.48615	0.203784	0	0.310066
0.3	0.5	0.5	0.474957	0.166764	0	0.358279
0.35	0.5	0.5	0.45839	0.136406	0	0.405203
0.4	0.5	0.5	0.43771	0.111111	0	0.451178
0.45	0.5	0.5	0.413706	0.08982	0	0.496474
0.5	0.5	0.5	0.386892	0.071797	0	0.541311
0.55	0.5	0.5	0.35761	0.056508	0	0.585882
0.6	0.5	0.5	0.326086	0.043561	0	0.630353
0.65	0.5	0.5	0.292464	0.032658	0	0.674878
0.7	0.5	0.5	0.256824	0.023573	0	0.719603
0	0.55	0.5	0.000001	0.981785	0	0.018214
0.05	0.55	0.5	0.396386	0.518725	0	0.084889
0.1	0.55	0.5	0.471207	0.38531	0	0.143482
0.15	0.55	0.5	0.501176	0.301161	0	0.197662
0.2	0.55	0.5	0.510373	0.240581	0	0.249045
0.25	0.55	0.5	0.507703	0.193864	0	0.298433
0.3	0.55	0.5	0.496766	0.156775	0	0.346459
0.35	0.55	0.5	0.479916	0.126588	0	0.393496
0.4	0.55	0.5	0.458508	0.101657	0	0.439834
0.45	0.55	0.5	0.433402	0.080892	0	0.485706
0.5	0.55	0.5	0.405168	0.06353	0	0.531302
0.55	0.55	0.5	0.374199	0.049016	0	0.576785
0.6	0.55	0.5	0.340769	0.036936	0	0.622295
0.65	0.55	0.5	0.305071	0.026972	0	0.667958
0.7	0.55	0.5	0.267239	0.018874	0	0.713887
0	0.6	0.5	0.007181	0.976084	0	0.016735
0.05	0.6	0.5	0.410545	0.509612	0	0.079843
0.1	0.6	0.5	0.490062	0.373671	0	0.136267
0.15	0.6	0.5	0.522025	0.288844	0	0.189131
0.2	0.6	0.5	0.533004	0.22736	0	0.239636
0.25	0.6	0.5	0.530944	0.180484	0	0.288571
0.3	0.6	0.5	0.519813	0.143699	0	0.336488
0.35	0.6	0.5	0.502222	0.114092	0	0.383686
0.4	0.6	0.5	0.479644	0.089947	0	0.43041
0.45	0.6	0.5	0.453018	0.070129	0	0.476854
0.5	0.6	0.5	0.422984	0.053838	0	0.523178
0.55	0.6	0.5	0.389998	0.040488	0	0.569514
0.6	0.6	0.5	0.354394	0.029632	0	0.615973
0.65	0.6	0.5	0.316428	0.020921	0	0.662651
0.7	0.6	0.5	0.276304	0.014071	0	0.709625
0	0.65	0.5	0.022861	0.961744	0	0.015395
0.05	0.65	0.5	0.428306	0.496175	0	0.075518
0.1	0.65	0.5	0.512559	0.357359	0	0.130083
0.15	0.65	0.5	0.545608	0.272503	0	0.181889
0.2	0.65	0.5	0.558289	0.21006	0	0.231651
0.25	0.65	0.5	0.556364	0.163392	0	0.280244
0.3	0.65	0.5	0.544442	0.127419	0	0.328139
0.35	0.65	0.5	0.525509	0.098931	0	0.37556
0.4	0.65	0.5	0.501186	0.076112	0	0.422702
0.45	0.65	0.5	0.472512	0.057763	0	0.469725
0.5	0.65	0.5	0.440213	0.043033	0	0.516753
0.55	0.65	0.5	0.404824	0.031288	0	0.563888
0.6	0.65	0.5	0.366756	0.022036	0	0.611208
0.65	0.65	0.5	0.326343	0.014884	0	0.658773
0.7	0.65	0.5	0.283869	0.009503	0	0.706628
0	0.7	0.5	0.042971	0.942779	0	0.014249
0.05	0.7	0.5	0.450813	0.477398	0	0.071789
0.1	0.7	0.5	0.539828	0.3354	0	0.124772
0.15	0.7	0.5	0.572579	0.251635	0	0.175785
0.2	0.7	0.5	0.586921	0.18815	0	0.224929
0.25	0.7	0.5	0.584459	0.142251	0	0.273291
0.3	0.7	0.5	0.570912	0.107826	0	0.321261
0.35	0.7	0.5	0.549825	0.081201	0	0.368974
0.4	0.7	0.5	0.523006	0.060419	0	0.416575
0.45	0.7	0.5	0.491622	0.044194	0	0.464184
0.5	0.7	0.5	0.456508	0.031601	0	0.511891
0.55	0.7	0.5	0.418299	0.021941	0	0.55976
0.6	0.7	0.5	0.377499	0.014664	0	0.607837
0.65	0.7	0.5	0.334528	0.009325	0	0.656147
0.7	0.7	0.5	0.28975	0.005548	0	0.704702
0	0.75	0.5	0.070169	0.916574	0	0.013257
0.05	0.75	0.5	0.479872	0.451562	0	0.068566
0.1	0.75	0.5	0.573527	0.306246	0	0.120227
0.15	0.75	0.5	0.603795	0.225475	0	0.170731
0.2	0.75	0.5	0.619737	0.160893	0	0.21937
0.25	0.75	0.5	0.615677	0.116709	0	0.267614
0.3	0.75	0.5	0.599286	0.084947	0	0.315766
