R	a	b	z	x	u	grp
0.5	0.4	0.5	0.37226	0.067379	0.00862	0.551741
0.55	0.4	0.5	0.33835	0.057018	0.005966	0.598666
0.6	0.4	0.5	0.304561	0.047131	0.003952	0.644356
0.65	0.4	0.5	0.270631	0.03786	0.002481	0.689028
0.7	0.4	0.5	0.236276	0.029331	0.001453	0.73294
0	0.45	0.5	0.747894	0.173064	0.067485	0.011556
0.05	0.45	0.5	0.709011	0.164703	0.058159	0.068127
0.1	0.45	0.5	0.670647	0.15554	0.049369	0.124444
0.15	0.45	0.5	0.632903	0.145613	0.04121	0.180275
0.2	0.45	0.5	0.595855	0.134992	0.033767	0.235386
0.25	0.45	0.5	0.559535	0.12379	0.027112	0.289563
0.3	0.45	0.5	0.523931	0.112155	0.021288	0.342626
0.35	0.45	0.5	0.488979	0.100264	0.016311	0.394445
0.4	0.45	0.5	0.454561	0.08832	0.012166	0.444953
0.45	0.45	0.5	0.420512	0.076529	0.008805	0.494155
0.5	0.45	0.5	0.386626	0.065093	0.00616	0.54212
0.55	0.45	0.5	0.352674	0.0542	0.004143	0.588983
0.6	0.45	0.5	0.31841	0.044008	0.002658	0.634925
0.65	0.45	0.5	0.283578	0.034651	0.001609	0.680162
0.7	0.45	0.5	0.247919	0.026238	0.000903	0.72494
0	0.5	0.5	0.748343	0.182553	0.057742	0.011362
0.05	0.5	0.5	0.711418	0.172512	0.049121	0.06695
0.1	0.5	0.5	0.675046	0.161621	0.041093	0.122239
0.15	0.5	0.5	0.639276	0.149959	0.033748	0.177016
0.2	0.5	0.5	0.604139	0.137636	0.027156	0.231069
0.25	0.5	0.5	0.569586	0.124821	0.021372	0.284221
0.3	0.5	0.5	0.535537	0.111713	0.016417	0.336333
0.35	0.5	0.5	0.501857	0.09854	0.012281	0.387322
0.4	0.5	0.5	0.468363	0.085541	0.008924	0.437172
0.45	0.5	0.5	0.434842	0.072951	0.006277	0.485929
0.5	0.5	0.5	0.401061	0.060983	0.004256	0.5337
0.55	0.5	0.5	0.366779	0.049818	0.002765	0.580638
0.6	0.5	0.5	0.33176	0.039603	0.001706	0.626931
0.65	0.5	0.5	0.295776	0.030447	0.000988	0.672788
0.7	0.5	0.5	0.258614	0.02243	0.000527	0.718429
0	0.55	0.5	0.749796	0.189848	0.049183	0.011173
0.05	0.55	0.5	0.714989	0.177979	0.041214	0.065818
0.1	0.55	0.5	0.680732	0.165232	0.033895	0.120141
0.15	0.55	0.5	0.647005	0.15174	0.027308	0.173946
0.2	0.55	0.5	0.613799	0.137655	0.021505	0.227042
0.25	0.55	0.5	0.580961	0.123226	0.016525	0.279288
0.3	0.55	0.5	0.548344	0.108708	0.012363	0.330586
0.35	0.55	0.5	0.51574	0.09438	0.008984	0.380896
0.4	0.55	0.5	0.482915	0.080518	0.006324	0.430243
0.45	0.55	0.5	0.449622	0.067372	0.004296	0.47871
0.5	0.55	0.5	0.415617	0.055154	0.002803	0.526426
0.55	0.55	0.5	0.380672	0.044029	0.001745	0.573555
0.6	0.55	0.5	0.344584	0.034111	0.001026	0.620279
0.65	0.55	0.5	0.307178	0.025471	0.000563	0.666788
0.7	0.55	0.5	0.268765	0.01769	0.000101	0.713444
0	0.6	0.5	0.752608	0.194811	0.041588	0.010993
0.05	0.6	0.5	0.720085	0.18094	0.03423	0.064745
0.1	0.6	0.5	0.688066	0.166187	0.027578	0.118169
0.15	0.6	0.5	0.656438	0.150764	0.02171	0.171088
0.2	0.6	0.5	0.625169	0.134858	0.016649	0.223325
0.25	0.6	0.5	0.593961	0.118835	0.012421	0.274782
0.3	0.6	0.5	0.5626	0.10301	0.008994	0.325397
0.35	0.6	0.5	0.530816	0.087712	0.006304	0.375168
0.4	0.6	0.5	0.498335	0.073244	0.004264	0.424157
0.45	0.6	0.5	0.464894	0.059861	0.002773	0.472472
0.5	0.6	0.5	0.430269	0.04775	0.001724	0.520258
0.55	0.6	0.5	0.394272	0.037037	0.001016	0.567674
0.6	0.6	0.5	0.356764	0.027784	0.000562	0.614889
0.65	0.6	0.5	0.317816	0.019823	0.000252	0.662109
0.7	0.6	0.5	0.278264	0.011232	0.013111	0.697393
0	0.65	0.5	0.757175	0.197224	0.034778	0.010822
0.05	0.65	0.5	0.727124	0.181135	0.028001	0.06374
0.1	0.65	0.5	0.697479	0.164193	0.021991	0.116337
0.15	0.65	0.5	0.667986	0.146736	0.016817	0.168461
0.2	0.65	0.5	0.638644	0.128952	0.012468	0.219936
0.25	0.65	0.5	0.608927	0.111397	0.008958	0.270719
